symbol,annual_volatility,optimal_stop_loss,tight_stop_loss,wide_stop_loss,optimal_take_profit,conservative_take_profit,aggressive_take_profit,optimal_trailing_stop,avg_rally,avg_drawdown,max_rally,max_drawdown,risk_reward_ratio,mtf_signal,mtf_alignment
SAHOL,39.86086327278375,15.657051014714357,13.7623790142348,17.870471185296363,26.00000336251105,15.729048334227477,33.04795075244038,20,22.81325526810436,11.679092128051984,79.69204513037147,26.243096398029802,1.6605938971570366,INSUFFICIENT_DATA,1.0
PGSUS,47.02414749741124,16.373009534072473,15.161341901458282,20.179499941470336,30.17349103017891,22.161244749761764,36.87691324918168,20,26.96775638650356,12.581573170455064,135.7002128696696,24.729733554460758,1.8428799523622967,INSUFFICIENT_DATA,-1.0
PETKM,44.73502282354197,21.96372195443918,18.75288177165023,23.827230074581976,27.213269269345925,19.31165866847555,32.42510974188504,3,24.343864136116338,14.293045143415771,88.27159607161552,28.224455644837615,1.2390099148858391,INSUFFICIENT_DATA,1.0
THYAO,42.84388854045536,16.527540654369652,15.073768711469835,19.089441402736178,29.462411651317186,14.780401286859345,45.13573884404168,20,25.86960888035402,12.071991989890938,114.54983169028436,25.614491940576396,1.7826252718082247,INSUFFICIENT_DATA,-1.0
TCELL,39.95582667977283,18.981072283843716,14.482344497695983,20.65521902947656,20.666756581772297,14.160303441044288,24.709207781961773,3,20.433227303111106,12.247751243685073,81.83183370668871,23.49457144672769,1.0888086970388602,INSUFFICIENT_DATA,-1.0
TAVHL,43.66588225977463,18.776927673981834,17.1365149730345,21.616394862173475,33.79587118861514,24.363707912592396,39.23266800860913,3,27.18628773850784,13.932798146141792,78.06826174750805,32.61031932682719,1.7998616054448693,INSUFFICIENT_DATA,1.0
SASA,54.70228968572525,23.553415396741425,18.681779121243927,29.2390971886902,30.874511958254658,17.3684235292789,40.12692430743603,15,34.67979588980788,16.7249203040727,258.2693014984641,43.907681935687314,1.3108295097842197,INSUFFICIENT_DATA,-1.0
SISE,39.58649134923,16.243476869597515,13.85890474710333,17.324688407859433,20.427939653262452,14.348562710948535,27.292350409392235,15,23.312252515070515,12.12767788358098,123.89380346007506,27.216257211379784,1.257608812279401,INSUFFICIENT_DATA,1.0
TKFEN,4450.859707099593,25.20407314329673,22.904697917918757,29.16970373738116,40.06959746115415,17.363194415071643,46.32345336860989,3,33.58091522936591,18.962823372180072,151.4668837601339,99.04677911770125,1.5898064266573142,INSUFFICIENT_DATA,-1.0
TOASO,45.1889639872399,22.512510433794663,20.08253410011209,26.8425682490278,32.2141160643106,23.949636482225003,37.991376797034235,3,27.109763434456983,16.005750174823905,68.14947578980545,38.269027057232094,1.4309428599287786,INSUFFICIENT_DATA,1.0
