symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,entry_score,holding_periods
QUAGR,2023-05-09 12:30:00+00:00,2023-05-12 06:30:00+00:00,7.340909004211426,7.300000667572021,571,-40.0785790662776,-0.009542422584320738,TIME_EXIT,0.4831163535972513,22.0
DOAS,2023-05-10 06:30:00+00:00,2023-05-12 09:30:00+00:00,126.9000015258789,126.5999984741211,34,-27.43810375976591,-0.006346668696131806,TIME_EXIT,0.5542440208382402,22.0
ARCLK,2023-05-09 06:30:00+00:00,2023-05-12 13:30:00+00:00,92.75,94.4499969482422,45,59.651862945557696,0.01426362320475735,TIME_EXIT,0.5525276634414069,33.0
SKBNK,2023-05-04 12:30:00+00:00,2023-05-15 06:30:00+00:00,2.130000114440918,2.1600000858306885,1846,39.541266446113696,0.010036251365050378,TIME_EXIT,0.42828356344719803,57.0
AGHOL,2023-05-08 06:30:00+00:00,2023-05-15 06:30:00+00:00,94.6999969482422,95.3499984741211,46,12.415470611571436,0.00284438033891965,TIME_EXIT,0.6075686670276111,45.0
ISFIN,2023-05-08 07:30:00+00:00,2023-05-15 06:30:00+00:00,5.369999885559082,5.349999904632568,757,-31.370065243721,-0.007701539451828364,TIME_EXIT,0.4918040402105263,44.0
BIMAS,2023-05-09 14:30:00+00:00,2023-05-15 06:30:00+00:00,165.60000610351562,159.60000610351562,24,-159.60960058593764,-0.04007926043625567,TIME_EXIT,0.49415434850235357,28.0
AKSA,2023-05-10 06:30:00+00:00,2023-05-15 06:30:00+00:00,4.666666507720947,4.833333492279053,806,119.01958955383316,0.03157976680658968,SIGNAL,0.410057565051052,74.0
GARAN,2023-05-11 07:30:00+00:00,2023-05-15 06:30:00+00:00,30.13999938964844,29.799999237060547,151,-69.44190262603843,-0.015227678655765442,SIGNAL,0.7331798628567318,17.0
OTKAR,2023-05-12 09:30:00+00:00,2023-05-15 06:30:00+00:00,172.3000030517578,156.60000610351562,23,-376.229330230713,-0.0947483829602856,STOP_LOSS,0.5222398965349544,7.0
AEFES,2023-05-12 13:30:00+00:00,2023-05-15 06:30:00+00:00,7.680000305175781,6.875,567,-472.9405433807374,-0.10839132576534023,STOP_LOSS,0.6372228590872214,2.0
ISCTR,2023-05-10 14:30:00+00:00,2023-05-15 08:30:00+00:00,5.1440510749816895,5.032050132751465,823,-108.92663804340373,-0.02567800451179165,TIME_EXIT,0.599575995932643,21.0
PGSUS,2023-05-12 06:30:00+00:00,2023-05-16 09:30:00+00:00,90.16696166992188,85.1542739868164,42,-225.25986648559547,-0.05936348309266877,TIME_EXIT,0.4417341746915993,-22.0
KLRHO,2023-05-15 06:30:00+00:00,2023-05-17 06:30:00+00:00,8.600000381469727,10.648000717163086,589,1183.598052429199,0.2331968904470854,TAKE_PROFIT,0.39623730980383565,48.0
KOZAA,2023-05-15 06:30:00+00:00,2023-05-17 08:30:00+00:00,33.7400016784668,41.2599983215332,114,840.1796173095704,0.21799898355128935,TAKE_PROFIT,0.25895138590378003,22.0
OYAKC,2023-05-15 06:30:00+00:00,2023-05-17 08:30:00+00:00,7.46666669845581,8.999999046325684,490,735.1955180263521,0.200545205569985,TAKE_PROFIT,0.24836974830028277,23.0
ISDMR,2023-05-15 08:30:00+00:00,2023-05-17 11:30:00+00:00,29.07999992370605,29.420000076293945,158,35.23402410888775,0.007653199555941686,TIME_EXIT,0.7559006316423359,64.0
ASELS,2023-05-15 06:30:00+00:00,2023-05-18 11:30:00+00:00,20.56999969482422,20.979999542236328,161,52.6308756790163,0.015860348034502893,TIME_EXIT,0.23648034289221775,31.0
ARCLK,2023-05-15 06:30:00+00:00,2023-05-22 06:30:00+00:00,88.0,89.30000305175781,39,36.870718780517564,0.010721772882125481,TIME_EXIT,0.24513054426286565,36.0
EGEEN,2023-05-17 08:30:00+00:00,2023-05-22 07:30:00+00:00,4494.0,4130.0,1,-381.2480000000005,-0.08466555984604011,STOP_LOSS,0.6812420834855851,16.0
KONYA,2023-05-17 06:30:00+00:00,2023-05-22 09:30:00+00:00,2487.300048828125,2490.0,1,-7.254648925781112,-0.0029108545195482395,TIME_EXIT,0.6797074393504102,-91.0
IPEKE,2023-05-17 08:30:00+00:00,2023-05-22 11:30:00+00:00,24.799999237060547,24.479999542236328,185,-77.43354309082042,-0.016843720030071032,TIME_EXIT,0.6725967265262117,21.0
MAVI,2023-05-17 11:30:00+00:00,2023-05-22 14:30:00+00:00,14.212499618530272,13.524999618530272,300,-222.89249954223624,-0.05217182299716457,TIME_EXIT,0.5400810934464633,21.0
GESAN,2023-05-16 09:30:00+00:00,2023-05-24 09:30:00+00:00,51.400001525878906,52.09999847412109,76,37.467768066405824,0.009572235560142311,TIME_EXIT,0.49461863230296116,45.0
OYAKC,2023-05-22 06:30:00+00:00,2023-05-24 09:30:00+00:00,8.589743614196777,8.574357986450195,499,-24.80720164298964,-0.005776028246336162,TIME_EXIT,0.585822750566508,22.0
KRDMD,2023-05-15 06:30:00+00:00,2023-05-24 10:30:00+00:00,14.699999809265137,15.920000076293944,324,375.4383265914903,0.07866989030733003,SIGNAL,0.37547400143302684,57.0
SMRTG,2023-05-22 07:30:00+00:00,2023-05-24 10:30:00+00:00,32.60101318359375,30.328283309936523,134,-321.41085453033475,-0.07342719232171363,TIME_EXIT,0.6268023539718243,130.0
ALGYO,2023-05-22 09:30:00+00:00,2023-05-24 12:30:00+00:00,12.01111125946045,11.711111068725586,333,-115.69906358528169,-0.028869196665868093,TIME_EXIT,0.508048490625975,20.0
SMRTG,2023-05-24 10:30:00+00:00,2023-05-25 06:30:00+00:00,30.328283309936523,37.6767692565918,137,988.1091902885437,0.23733884336933697,TAKE_PROFIT,0.46084424371974514,115.0
AGHOL,2023-05-22 14:30:00+00:00,2023-05-25 08:30:00+00:00,92.25,91.9499969482422,44,-29.409734008788746,-0.007231099271963279,TIME_EXIT,0.5489830202207859,-9.0
EKGYO,2023-05-15 06:30:00+00:00,2023-05-26 10:30:00+00:00,5.650000095367432,6.920000076293945,754,938.624425359726,0.2198894175491427,TAKE_PROFIT,0.2783742778218191,78.0
KOZAL,2023-05-15 06:30:00+00:00,2023-05-29 06:30:00+00:00,17.100000381469727,20.520000457763672,235,786.0186175346371,0.19520958083832327,TAKE_PROFIT,0.26039064751497704,38.0
KLRHO,2023-05-25 06:30:00+00:00,2023-05-29 06:30:00+00:00,11.08799934387207,13.407999992370604,370,840.2732004356376,0.2044079935558246,TAKE_PROFIT,0.5024988353954218,5.0
SASA,2023-05-22 11:30:00+00:00,2023-05-29 07:30:00+00:00,5.629673957824707,6.762499809265137,737,816.6265883789065,0.19642875457837436,TAKE_PROFIT,0.5593855325062449,-68.0
OYAKC,2023-05-24 10:30:00+00:00,2023-05-29 08:30:00+00:00,8.528204917907715,10.2410249710083,463,775.6553777084355,0.19604802346812855,TAKE_PROFIT,0.4605821523494257,26.0
KONYA,2023-05-25 08:30:00+00:00,2023-05-30 07:30:00+00:00,2539.800048828125,3110.0,1,558.9003510742191,0.219617596183826,TAKE_PROFIT,0.6212077371194744,23.0
ISDMR,2023-05-26 10:30:00+00:00,2023-05-30 09:30:00+00:00,28.21999931335449,33.959999084472656,151,847.9616059227001,0.19859784014400558,TAKE_PROFIT,0.5214999937223822,62.0
KOZAA,2023-05-18 11:30:00+00:00,2023-05-31 10:30:00+00:00,38.7599983215332,46.619998931884766,110,845.8164677429195,0.19798485971350277,TAKE_PROFIT,0.5635365033465319,41.0
SMRTG,2023-05-29 06:30:00+00:00,2023-05-31 10:30:00+00:00,38.86363220214844,38.93939208984375,116,-9.262154663085312,-0.0020504204779303466,TIME_EXIT,0.611015006662316,102.0
QUAGR,2023-05-29 08:30:00+00:00,2023-05-31 11:30:00+00:00,8.081818580627441,7.663636207580566,524,-235.62880009460469,-0.055529052859056904,TIME_EXIT,0.476463990635304,22.0
INDES,2023-05-24 12:30:00+00:00,2023-06-01 07:30:00+00:00,1.3754916191101074,1.6582612991333008,2963,819.8685421152113,0.20076449074730798,TAKE_PROFIT,0.5126605923900184,49.0
KOZAA,2023-05-31 11:30:00+00:00,2023-06-02 14:30:00+00:00,46.15999984741211,44.68000030517578,104,-172.814672424317,-0.0359264042978689,TIME_EXIT,0.6913638535359445,20.0
KLRHO,2023-05-30 09:30:00+00:00,2023-06-06 09:30:00+00:00,13.0,15.93000030517578,362,1039.714790252684,0.22049288381432713,TAKE_PROFIT,0.6410487734632807,75.0
