time,portfolio_value,cash,positions
2022-10-07 00:00:00+00:00,107005.87049758065,45175.94428145515,10
2022-10-21 00:00:00+00:00,111968.91981435883,50456.51120782959,10
2022-11-04 00:00:00+00:00,116437.00029793655,51852.072582635046,10
2022-11-18 00:00:00+00:00,121777.09556172811,58081.96096251929,10
2022-12-02 00:00:00+00:00,131199.9719558121,61867.47533372653,10
2022-12-16 00:00:00+00:00,131724.63378530846,63450.383565963384,10
2022-12-30 00:00:00+00:00,134418.52816051734,62824.05271763099,10
2023-01-13 00:00:00+00:00,126803.57456142486,61184.61854154647,10
2023-01-27 00:00:00+00:00,130213.21824510253,62957.50917489685,10
2023-02-16 00:00:00+00:00,128162.78085453,63069.52847606626,10
2023-03-02 00:00:00+00:00,130797.5160520598,62103.34487514941,10
2023-03-16 00:00:00+00:00,128521.7513627526,61004.10502858131,10
2023-03-30 00:00:00+00:00,123722.22365422123,58742.97643132084,10
2023-04-13 00:00:00+00:00,126536.24067898434,60924.82135267894,10
2023-04-28 00:00:00+00:00,119938.15521534559,58610.29735001202,10
2023-05-15 00:00:00+00:00,119493.51679156418,56791.706866484834,10
2023-05-30 00:00:00+00:00,124571.02909878179,60821.072735580645,10
2023-06-13 00:00:00+00:00,129158.66444577475,66127.19327844877,10
2023-06-27 00:00:00+00:00,132039.1817679469,64029.13667894047,10
2023-07-14 00:00:00+00:00,140871.17208743637,70070.70624185151,10
2023-07-28 00:00:00+00:00,145474.58291432163,70278.31252619524,10
2023-08-11 00:00:00+00:00,153617.29142875643,79875.77983112306,10
2023-08-25 00:00:00+00:00,155930.97148158238,76840.99217345401,10
2023-09-11 00:00:00+00:00,159794.79123858042,78658.46870401927,10
2023-09-25 00:00:00+00:00,157853.14703554008,78560.82526201103,10
2023-10-09 00:00:00+00:00,159958.00378202673,83688.07938169714,10
2023-10-23 00:00:00+00:00,154183.76901364943,75853.0723393025,10
2023-11-06 00:00:00+00:00,154695.9041241965,77996.05361502977,10
2023-11-20 00:00:00+00:00,156135.3992515654,84446.86455498642,9
2023-12-04 00:00:00+00:00,156897.42735662597,76791.6116041197,10
2023-12-18 00:00:00+00:00,151889.56222383442,82274.69399730625,9
2024-01-02 00:00:00+00:00,149261.08869289822,79833.80386328166,10
2024-01-16 00:00:00+00:00,151642.90809882013,79904.44077933162,10
2024-01-30 00:00:00+00:00,153305.9455615811,77766.74489658399,10
2024-02-13 00:00:00+00:00,155990.2516861386,77469.43214468428,10
2024-02-27 00:00:00+00:00,158260.0156375012,79962.17755995604,10
2024-03-12 00:00:00+00:00,155958.7484301724,82768.21873466152,9
2024-03-26 00:00:00+00:00,148975.54732050432,78087.50089623466,9
2024-04-09 00:00:00+00:00,110654.28157737842,78486.78056433788,10
2024-04-29 00:00:00+00:00,164174.52258877485,97578.94303254811,8
2024-05-14 00:00:00+00:00,164847.64278354947,82925.16171803777,10
2024-05-28 00:00:00+00:00,170022.8969267818,86176.56134786333,10
2024-06-11 00:00:00+00:00,164055.71476591218,83846.16714323152,10
2024-06-28 00:00:00+00:00,173607.57258505927,85421.08797330964,10
2024-07-12 00:00:00+00:00,178771.65779365267,90052.23499072755,10
2024-07-29 00:00:00+00:00,175510.94678688727,92581.24504280768,10
2024-08-12 00:00:00+00:00,167972.9208106452,90526.13110966027,10
2024-08-26 00:00:00+00:00,165569.93763391412,88509.54384843743,10
2024-09-10 00:00:00+00:00,165336.79575685086,96155.29612592282,9
2024-09-24 00:00:00+00:00,166691.84116824972,88542.4318803202,10
2024-10-08 00:00:00+00:00,158885.65993341364,88523.37424978174,10
2024-10-22 00:00:00+00:00,159255.2821751014,87981.8290152923,10
2024-11-06 00:00:00+00:00,159609.31571953883,87558.5457054912,10
2024-11-20 00:00:00+00:00,159570.1728929454,86112.28379573168,10
2024-12-04 00:00:00+00:00,167395.21691013256,83771.12902952112,10
2024-12-18 00:00:00+00:00,170527.3491516906,87966.9864350158,10
2025-01-02 00:00:00+00:00,170098.84744529257,85882.65300063622,10
2025-01-16 00:00:00+00:00,169250.05635217152,85424.8943372103,10
2025-01-30 00:00:00+00:00,168728.84871731052,87076.06728754293,10
2025-02-13 00:00:00+00:00,166433.94704638352,85385.5633355223,10
2025-02-27 00:00:00+00:00,165042.08726569806,85375.48231860793,10
2025-03-13 00:00:00+00:00,170574.19692783797,85393.09581642592,10
2025-03-27 00:00:00+00:00,164477.57712571963,83486.65430801257,10
2025-04-14 00:00:00+00:00,165701.81111476332,87483.9870419255,10
2025-04-29 00:00:00+00:00,164551.94134457788,88070.90133078775,10
2025-05-14 00:00:00+00:00,167154.25411095438,85678.3144937974,10
2025-05-29 00:00:00+00:00,160579.1245098325,86299.53887560093,10
2025-06-16 00:00:00+00:00,164424.18787740148,87376.20725224889,10
