symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,entry_score,holding_periods
KLRHO,2023-05-26 00:00:00+00:00,2023-06-02 00:00:00+00:00,12.19200038909912,14.880000114440918,480,1264.250747680665,0.21560026602610605,TAKE_PROFIT,0.5138085972699753,513.0
THYAO,2023-05-16 00:00:00+00:00,2023-06-05 00:00:00+00:00,135.89999389648438,164.5,47,1315.962687438965,0.20561678242644862,TAKE_PROFIT,0.49398994743031915,13.0
FROTO,2023-05-16 00:00:00+00:00,2023-06-06 00:00:00+00:00,54.75,66.30000305175781,97,1096.866595428467,0.20612479234506875,TAKE_PROFIT,0.4257341028820612,14.0
DOAS,2023-05-15 00:00:00+00:00,2023-06-07 00:00:00+00:00,121.6928482055664,146.79798889160156,44,1080.9989965209961,0.2014836626132864,TAKE_PROFIT,0.44579843560430205,16.0
EKGYO,2023-05-16 00:00:00+00:00,2023-06-07 00:00:00+00:00,6.2995123863220215,7.759986877441406,891,1276.2287438993453,0.22692176980181886,TAKE_PROFIT,0.4267867719839465,15.0
MAVI,2023-05-05 00:00:00+00:00,2023-06-09 00:00:00+00:00,13.024999618530272,16.049999237060547,431,1278.7121865730296,0.22732651454945882,TAKE_PROFIT,0.41933399915389136,-484.0
QUAGR,2023-05-05 00:00:00+00:00,2023-06-12 00:00:00+00:00,6.822727203369141,8.409090042114258,776,1207.3777825012203,0.22759133858573774,TAKE_PROFIT,0.4017022974875868,224.0
AGESA,2023-06-02 00:00:00+00:00,2023-06-12 00:00:00+00:00,29.540000915527344,36.31999969482422,230,1529.1041189575199,0.22461098696403395,TAKE_PROFIT,0.7200308437811334,6.0
SISE,2023-06-07 00:00:00+00:00,2023-06-14 00:00:00+00:00,45.7400016784668,41.59999847412109,159,-686.0346295394911,-0.09414234596657267,STOP_LOSS,0.7435397076896446,-194.0
TAVHL,2023-06-12 00:00:00+00:00,2023-06-19 00:00:00+00:00,92.0,83.5,73,-646.1229999999996,-0.09601449275362313,STOP_LOSS,0.572942964082205,5.0
QUAGR,2023-06-12 00:00:00+00:00,2023-06-22 00:00:00+00:00,8.409090042114258,7.699999809265137,758,-561.9117767143252,-0.08797964480539502,STOP_LOSS,0.571640867191691,207.0
HALKB,2023-05-26 00:00:00+00:00,2023-06-27 00:00:00+00:00,12.289999961853027,12.479999542236328,510,71.63438650131229,0.011405957962926476,TIME_EXIT,0.5428852302510805,22.0
KONYA,2023-05-29 00:00:00+00:00,2023-07-03 00:00:00+00:00,2865.5,3600.5,2,1444.1359999999995,0.25148377124654886,TAKE_PROFIT,0.6197983084699596,22.0
THYAO,2023-06-09 00:00:00+00:00,2023-07-05 00:00:00+00:00,176.89999389648438,216.5,35,1358.4622140502934,0.21896967768747688,TAKE_PROFIT,0.5584781971593646,15.0
EGEEN,2023-05-31 00:00:00+00:00,2023-07-06 00:00:00+00:00,4595.51123046875,5618.3798828125,1,1002.4408701171878,0.2176993896791908,TAKE_PROFIT,0.6937249871392847,23.0
ODAS,2023-06-19 00:00:00+00:00,2023-07-06 00:00:00+00:00,6.679999828338623,8.420000076293945,1045,1786.74125931263,0.2554472330913296,TAKE_PROFIT,0.7359481483273762,10.0
SKBNK,2023-06-06 00:00:00+00:00,2023-07-11 00:00:00+00:00,2.447129487991333,2.9524073600769043,2691,1330.6424464659694,0.20166150470647384,TAKE_PROFIT,0.6509150330188977,22.0
AKBNK,2023-06-22 00:00:00+00:00,2023-07-12 00:00:00+00:00,17.988771438598633,21.65401840209961,386,1384.181094154358,0.19894653664829953,TAKE_PROFIT,0.7444657948339546,11.0
SAHOL,2023-06-05 00:00:00+00:00,2023-07-14 00:00:00+00:00,40.01237869262695,49.01189422607422,172,1517.2923218688966,0.22002839013152697,TAKE_PROFIT,0.7357041665176689,26.0
OTKAR,2023-07-05 00:00:00+00:00,2023-07-18 00:00:00+00:00,220.24110412597656,276.55889892578125,32,1770.3742333984383,0.2506969236205831,TAKE_PROFIT,0.7997072307364885,9.0
