time,portfolio_value,cash,positions
2023-05-05 08:00:00+00:00,119734.88469354463,62112.99596576048,10
2023-05-10 12:00:00+00:00,120643.65264079977,61933.07680795599,10
2023-05-16 04:00:00+00:00,119153.06315706085,62789.06042502236,10
2023-05-22 08:00:00+00:00,119130.04292703891,61478.53196932101,10
2023-05-25 12:00:00+00:00,119350.81415365862,62158.99718474077,10
2023-05-31 04:00:00+00:00,127550.33422362113,62306.17246519828,10
2023-06-05 08:00:00+00:00,131425.31652070594,65817.24579288077,10
2023-06-08 12:00:00+00:00,133343.10907755542,67768.74041948962,10
2023-06-14 04:00:00+00:00,131647.979165036,65340.69851823499,10
2023-06-19 08:00:00+00:00,131049.46538680533,64393.64198916891,10
2023-06-22 12:00:00+00:00,130374.56188424662,63192.91311772899,10
2023-07-03 08:00:00+00:00,137946.52380691125,70197.45361075952,10
2023-07-06 12:00:00+00:00,140464.3637045324,72862.89411148432,10
2023-07-12 04:00:00+00:00,142122.77374157312,72862.89411148432,10
2023-07-17 08:00:00+00:00,144189.68136225585,76151.3213859642,10
2023-07-20 12:00:00+00:00,147425.6309778488,74481.65339110259,10
2023-07-26 04:00:00+00:00,147218.43396745186,75012.12013993722,10
2023-07-31 08:00:00+00:00,152830.7240414875,77151.6806850689,10
2023-08-03 12:00:00+00:00,154000.9278964165,77073.06847564013,10
2023-08-09 04:00:00+00:00,154467.95349943242,78558.51347982486,10
2023-08-14 08:00:00+00:00,157036.59529604609,78028.72010340387,10
2023-08-17 12:00:00+00:00,158979.24163233454,82374.1057985943,10
2023-08-23 04:00:00+00:00,160545.74260159762,81762.09912415774,10
2023-08-28 08:00:00+00:00,157722.41490586268,79749.92627795206,10
2023-09-01 12:00:00+00:00,158194.1690514735,81844.69936639584,10
2023-09-07 04:00:00+00:00,161168.19728046597,81092.9272852534,10
2023-09-12 08:00:00+00:00,161359.8021859139,83486.77095117269,10
2023-09-15 12:00:00+00:00,158655.72884809,81053.39113103371,10
2023-09-21 04:00:00+00:00,153289.27633677179,83218.48234759025,10
2023-09-26 08:00:00+00:00,159271.2609600628,83911.06413122063,10
2023-09-29 12:00:00+00:00,161211.3264503582,83106.02097893792,10
