date,value,cash,positions,returns
2024-12-19 00:00:00+00:00,102553.00741571434,62202.61691755302,5,-0.007460531822237049
2024-12-20 00:00:00+00:00,102477.10707515343,62273.355622707444,5,-0.0007401083836892086
2024-12-23 00:00:00+00:00,102325.71208709343,62273.355622707444,5,-0.0014773542343361479
2024-12-24 00:00:00+00:00,102461.16323894127,62273.355622707444,5,0.001323725475103954
2024-12-25 00:00:00+00:00,102682.47371753318,65651.67747577293,5,0.002159945013271214
2024-12-26 00:00:00+00:00,102515.1228302346,65651.67747577293,5,-0.0016297901797627246
2024-12-27 00:00:00+00:00,102842.13113326652,64675.14361495597,5,0.003189854277143578
2024-12-30 00:00:00+00:00,102443.7717435456,63982.211797485426,5,-0.003873503838662362
2024-12-31 00:00:00+00:00,101822.49597422799,64235.69724337776,5,-0.006064553840060549
2025-01-02 00:00:00+00:00,102531.36171273049,63885.856169021696,5,0.0069617792386655886
2025-01-03 00:00:00+00:00,102916.84030962762,64740.975882061095,5,0.0037596164769286844
2025-01-06 00:00:00+00:00,102587.54112292107,64740.975882061095,5,-0.0031996628123817095
2025-01-07 00:00:00+00:00,102353.64679194268,64740.975882061095,5,-0.0022799486996002427
2025-01-08 00:00:00+00:00,101646.42382374965,64419.96340123378,5,-0.006909602054830821
2025-01-09 00:00:00+00:00,101933.36094609462,64419.96340123378,5,0.0028228944172448145
2025-01-10 00:00:00+00:00,101392.53260315333,65349.90498054896,5,-0.005305705001008354
2025-01-13 00:00:00+00:00,100152.47114631091,62457.23249598896,5,-0.01223030360328381
2025-01-14 00:00:00+00:00,100033.71724606524,62445.856795320615,5,-0.001185731104649368
2025-01-15 00:00:00+00:00,100143.18717862139,62445.856795320615,5,0.001094330347505501
2025-01-16 00:00:00+00:00,100687.33180429658,62286.369126340964,5,0.005433665943791244
2025-01-17 00:00:00+00:00,100619.98569490633,62286.369126340964,5,-0.0006688637804124209
2025-01-20 00:00:00+00:00,100378.86804010591,62286.369126340964,5,-0.0023963197086065424
2025-01-21 00:00:00+00:00,99974.3002120801,62891.21935003481,5,-0.004030408351129999
